  Memory: 55 messages, 1 profile entries

[38;5;214m
       ██╗ █████╗ ██████╗ ██╗   ██╗██╗███████╗
       ██║██╔══██╗██╔══██╗██║   ██║██║██╔════╝
       ██║███████║██████╔╝██║   ██║██║███████╗
  ██   ██║██╔══██║██╔══██╗╚██╗ ██╔╝██║╚════██║
  ╚█████╔╝██║  ██║██║  ██║ ╚████╔╝ ██║███████║
   ╚════╝ ╚═╝  ╚═╝╚═╝  ╚═╝  ╚═══╝  ╚═╝╚══════╝
[0m
  [1mJ.A.R.V.I.S.[0m  v5.1 — Just A Rather Very Intelligent System
  ──────────────────────────────────────────
  [38;5;214m>[0m Phone:   https://192.168.101.13:8822
  [38;5;214m>[0m Local:   https://localhost:8822
  [38;5;214m>[0m SSL:     ON
  [15:16:56] "GET /perms HTTP/1.1" 200 -
  [15:16:58] "GET /jobs HTTP/1.1" 200 -
  [15:16:58] "GET /perms HTTP/1.1" 200 -
  [15:16:59] "GET /jobs HTTP/1.1" 200 -
  [15:16:59] "GET /perms HTTP/1.1" 200 -
  [15:17:01] "GET /jobs HTTP/1.1" 200 -
  [15:17:01] "GET /perms HTTP/1.1" 200 -
  [15:17:02] "GET /jobs HTTP/1.1" 200 -
  [15:17:02] "GET /perms HTTP/1.1" 200 -
  [15:17:04] "GET /jobs HTTP/1.1" 200 -
  [15:17:04] "GET /perms HTTP/1.1" 200 -
  [15:17:06] "GET /jobs HTTP/1.1" 200 -
  [15:17:06] "GET /perms HTTP/1.1" 200 -
  [15:17:07] "GET /jobs HTTP/1.1" 200 -
  [15:17:07] "GET /perms HTTP/1.1" 200 -
  [15:17:08] "GET / HTTP/1.1" 200 -
  [15:17:08] "GET /jobs HTTP/1.1" 200 -
  [15:17:08] "GET /perms HTTP/1.1" 200 -
  [15:17:09] "GET /jobs HTTP/1.1" 200 -
  [15:17:09] "GET /perms HTTP/1.1" 200 -
  [15:17:11] "GET /jobs HTTP/1.1" 200 -
  [15:17:11] "GET /perms HTTP/1.1" 200 -
  [15:17:12] "GET /jobs HTTP/1.1" 200 -
  [15:17:12] "GET /perms HTTP/1.1" 200 -
  [15:17:14] "GET /jobs HTTP/1.1" 200 -
  [15:17:14] "GET /perms HTTP/1.1" 200 -
  [15:17:15] "GET /jobs HTTP/1.1" 200 -
  [15:17:15] "GET /perms HTTP/1.1" 200 -
  [15:17:17] "GET /jobs HTTP/1.1" 200 -
  [15:17:17] "GET /perms HTTP/1.1" 200 -
  [15:17:18] "GET /jobs HTTP/1.1" 200 -
  [15:17:18] "GET /perms HTTP/1.1" 200 -
  [15:17:20] "GET /jobs HTTP/1.1" 200 -
  [15:17:20] "GET /perms HTTP/1.1" 200 -
  [15:17:21] "GET /jobs HTTP/1.1" 200 -
  [15:17:21] "GET /perms HTTP/1.1" 200 -
  [15:17:23] "GET /jobs HTTP/1.1" 200 -
  [15:17:23] "GET /perms HTTP/1.1" 200 -
  [15:17:24] "GET /jobs HTTP/1.1" 200 -
  [15:17:24] "GET /perms HTTP/1.1" 200 -
  [15:17:26] "GET /jobs HTTP/1.1" 200 -
  [15:17:26] "GET /perms HTTP/1.1" 200 -
  [15:17:27] "GET /jobs HTTP/1.1" 200 -
  [15:17:27] "GET /perms HTTP/1.1" 200 -
  [15:17:29] "GET /jobs HTTP/1.1" 200 -
  [15:17:29] "GET /perms HTTP/1.1" 200 -
  [15:17:30] "GET /jobs HTTP/1.1" 200 -
  [15:17:30] "GET /perms HTTP/1.1" 200 -
  [15:17:32] "GET /jobs HTTP/1.1" 200 -
  [15:17:32] "GET /perms HTTP/1.1" 200 -
  [15:17:33] "GET /jobs HTTP/1.1" 200 -
  [15:17:33] "GET /perms HTTP/1.1" 200 -
  [15:17:35] "GET /jobs HTTP/1.1" 200 -
  [15:17:35] "GET /perms HTTP/1.1" 200 -
  [15:17:36] "GET /jobs HTTP/1.1" 200 -
  [15:17:36] "GET /perms HTTP/1.1" 200 -
  [15:17:38] "GET /jobs HTTP/1.1" 200 -
  [15:17:38] "GET /perms HTTP/1.1" 200 -
  [15:17:38] "POST /send HTTP/1.1" 200 -
  [15:17:38] >> #1: Wyślij do mama na WhatsAppie jakąś tam wiadomość tekstową no i ewentualnie sprób
  [15:17:38] "GET /jobs HTTP/1.1" 200 -
  [15:17:38] "GET /perms HTTP/1.1" 200 -
  [15:17:39] "GET /jobs HTTP/1.1" 200 -
  [15:17:39] "GET /perms HTTP/1.1" 200 -
  [15:17:40] "GET /jobs HTTP/1.1" 200 -
  [15:17:41] "GET /jobs HTTP/1.1" 200 -
  [15:17:41] "GET /perms HTTP/1.1" 200 -
  [15:17:42] "GET /jobs HTTP/1.1" 200 -
  [15:17:42] "GET /jobs HTTP/1.1" 200 -
  [15:17:42] "GET /perms HTTP/1.1" 200 -
  [15:17:44] "GET /jobs HTTP/1.1" 200 -
  [15:17:44] "GET /perms HTTP/1.1" 200 -
  [15:17:44] "GET /jobs HTTP/1.1" 200 -
  [15:17:45] "GET /jobs HTTP/1.1" 200 -
  [15:17:45] "GET /perms HTTP/1.1" 200 -
  [15:17:46] "GET /jobs HTTP/1.1" 200 -
  [15:17:47] "GET /jobs HTTP/1.1" 200 -
  [15:17:47] "GET /perms HTTP/1.1" 200 -
  [15:17:48] "GET /jobs HTTP/1.1" 200 -
  [15:17:48] "GET /jobs HTTP/1.1" 200 -
  [15:17:48] "GET /perms HTTP/1.1" 200 -
  [15:17:50] "GET /jobs HTTP/1.1" 200 -
  [15:17:50] "GET /perms HTTP/1.1" 200 -
  [15:17:50] "GET /jobs HTTP/1.1" 200 -
  [15:17:51] "GET /jobs HTTP/1.1" 200 -
  [15:17:51] "GET /perms HTTP/1.1" 200 -
  [15:17:52] "GET /jobs HTTP/1.1" 200 -
  [15:17:53] "GET /jobs HTTP/1.1" 200 -
  [15:17:53] "GET /perms HTTP/1.1" 200 -
  [15:17:54] "GET /jobs HTTP/1.1" 200 -
  [15:17:54] "GET /jobs HTTP/1.1" 200 -
  [15:17:54] "GET /perms HTTP/1.1" 200 -
  [15:17:56] "GET /jobs HTTP/1.1" 200 -
  [15:17:56] "GET /perms HTTP/1.1" 200 -
  [15:17:56] "GET /jobs HTTP/1.1" 200 -
  [15:17:57] "GET /jobs HTTP/1.1" 200 -
  [15:17:57] "GET /perms HTTP/1.1" 200 -
  [15:17:58] "GET /jobs HTTP/1.1" 200 -
  [15:17:59] "GET /jobs HTTP/1.1" 200 -
  [15:17:59] "GET /perms HTTP/1.1" 200 -
  [15:18:00] "GET /jobs HTTP/1.1" 200 -
  [15:18:00] "GET /jobs HTTP/1.1" 200 -
  [15:18:00] "GET /perms HTTP/1.1" 200 -
  [15:18:02] "GET /jobs HTTP/1.1" 200 -
  [15:18:02] "GET /perms HTTP/1.1" 200 -
  [15:18:02] "GET /jobs HTTP/1.1" 200 -
  [15:18:03] "GET /jobs HTTP/1.1" 200 -
  [15:18:03] "GET /perms HTTP/1.1" 200 -
  [15:18:04] "GET /jobs HTTP/1.1" 200 -
  [15:18:05] "GET /jobs HTTP/1.1" 200 -
  [15:18:05] "GET /perms HTTP/1.1" 200 -
  [15:18:06] "GET /jobs HTTP/1.1" 200 -
  [15:18:06] "GET /jobs HTTP/1.1" 200 -
  [15:18:06] "GET /perms HTTP/1.1" 200 -
  [15:18:08] "GET /jobs HTTP/1.1" 200 -
  [15:18:08] "GET /perms HTTP/1.1" 200 -
  [15:18:08] "GET /jobs HTTP/1.1" 200 -
  [15:18:09] "GET /jobs HTTP/1.1" 200 -
  [15:18:09] "GET /perms HTTP/1.1" 200 -
  [15:18:10] "GET /jobs HTTP/1.1" 200 -
  [15:18:11] "GET /jobs HTTP/1.1" 200 -
  [15:18:11] "GET /perms HTTP/1.1" 200 -
  [15:18:12] "GET /jobs HTTP/1.1" 200 -
  [15:18:12] "GET /jobs HTTP/1.1" 200 -
  [15:18:12] "GET /perms HTTP/1.1" 200 -
  [15:18:14] "GET /jobs HTTP/1.1" 200 -
  [15:18:14] "GET /perms HTTP/1.1" 200 -
  [15:18:14] "GET /jobs HTTP/1.1" 200 -
  [15:18:15] "GET /jobs HTTP/1.1" 200 -
  [15:18:15] "GET /perms HTTP/1.1" 200 -
  [15:18:16] "GET /jobs HTTP/1.1" 200 -
  [15:18:17] "GET /jobs HTTP/1.1" 200 -
  [15:18:17] "GET /perms HTTP/1.1" 200 -
  [15:18:18] "GET /jobs HTTP/1.1" 200 -
  [15:18:18] "GET /jobs HTTP/1.1" 200 -
  [15:18:18] "GET /perms HTTP/1.1" 200 -
  [15:18:20] "GET /jobs HTTP/1.1" 200 -
  [15:18:20] "GET /perms HTTP/1.1" 200 -
  [15:18:20] "GET /jobs HTTP/1.1" 200 -
  [15:18:21] "GET /jobs HTTP/1.1" 200 -
  [15:18:21] "GET /perms HTTP/1.1" 200 -
  [15:18:22] "GET /jobs HTTP/1.1" 200 -
  [15:18:23] "GET /jobs HTTP/1.1" 200 -
  [15:18:23] "GET /perms HTTP/1.1" 200 -
  [15:18:24] "GET /jobs HTTP/1.1" 200 -
  [15:18:24] "GET /jobs HTTP/1.1" 200 -
  [15:18:24] "GET /perms HTTP/1.1" 200 -
  [15:18:26] "GET /jobs HTTP/1.1" 200 -
  [15:18:26] "GET /perms HTTP/1.1" 200 -
  [15:18:26] "GET /jobs HTTP/1.1" 200 -
  [15:18:27] "GET /jobs HTTP/1.1" 200 -
  [15:18:27] "GET /perms HTTP/1.1" 200 -
  [15:18:28] "GET /jobs HTTP/1.1" 200 -
  [15:18:29] "GET /jobs HTTP/1.1" 200 -
  [15:18:29] "GET /perms HTTP/1.1" 200 -
  [15:18:30] "GET /jobs HTTP/1.1" 200 -
  [15:18:30] "GET /jobs HTTP/1.1" 200 -
  [15:18:30] "GET /perms HTTP/1.1" 200 -
  [15:18:32] "GET /jobs HTTP/1.1" 200 -
  [15:18:32] "GET /perms HTTP/1.1" 200 -
  [15:18:32] "GET /jobs HTTP/1.1" 200 -
  [15:18:33] "GET /jobs HTTP/1.1" 200 -
  [15:18:33] "GET /perms HTTP/1.1" 200 -
  [15:18:34] "GET /jobs HTTP/1.1" 200 -
  [15:18:35] "GET /jobs HTTP/1.1" 200 -
  [15:18:35] "GET /perms HTTP/1.1" 200 -
  [15:18:36] "GET /jobs HTTP/1.1" 200 -
  [15:18:36] "GET /jobs HTTP/1.1" 200 -
  [15:18:36] "GET /perms HTTP/1.1" 200 -
  [15:18:38] "GET /jobs HTTP/1.1" 200 -
  [15:18:38] "GET /perms HTTP/1.1" 200 -
  [15:18:38] "GET /jobs HTTP/1.1" 200 -
  [15:18:39] "GET /jobs HTTP/1.1" 200 -
  [15:18:39] "GET /perms HTTP/1.1" 200 -
  [15:18:40] "GET /jobs HTTP/1.1" 200 -
  [15:18:41] "GET /jobs HTTP/1.1" 200 -
  [15:18:41] "GET /perms HTTP/1.1" 200 -
  [15:18:42] "GET /jobs HTTP/1.1" 200 -
  [15:18:42] "GET /jobs HTTP/1.1" 200 -
  [15:18:42] "GET /perms HTTP/1.1" 200 -
  [15:18:44] "GET /jobs HTTP/1.1" 200 -
  [15:18:44] "GET /perms HTTP/1.1" 200 -
  [15:18:44] "GET /jobs HTTP/1.1" 200 -
  [15:18:45] "GET /jobs HTTP/1.1" 200 -
  [15:18:45] "GET /perms HTTP/1.1" 200 -
  [15:18:46] "GET /jobs HTTP/1.1" 200 -
  [15:18:47] "GET /jobs HTTP/1.1" 200 -
  [15:18:47] "GET /perms HTTP/1.1" 200 -
  [15:18:48] "GET /jobs HTTP/1.1" 200 -
  [15:18:48] "GET /jobs HTTP/1.1" 200 -
  [15:18:48] "GET /perms HTTP/1.1" 200 -
  [15:18:50] "GET /jobs HTTP/1.1" 200 -
  [15:18:50] "GET /perms HTTP/1.1" 200 -
  [15:18:50] "GET /jobs HTTP/1.1" 200 -
  [15:18:51] "GET /jobs HTTP/1.1" 200 -
  [15:18:51] "GET /perms HTTP/1.1" 200 -
  [15:18:52] "GET /jobs HTTP/1.1" 200 -
  [15:18:53] "GET /jobs HTTP/1.1" 200 -
  [15:18:53] "GET /perms HTTP/1.1" 200 -
  [15:18:54] "GET /jobs HTTP/1.1" 200 -
  [15:18:54] "GET /jobs HTTP/1.1" 200 -
  [15:18:54] "GET /perms HTTP/1.1" 200 -
  [15:18:56] "GET /jobs HTTP/1.1" 200 -
  [15:18:56] "GET /perms HTTP/1.1" 200 -
  [15:18:56] "GET /jobs HTTP/1.1" 200 -
  [15:18:57] "GET /jobs HTTP/1.1" 200 -
  [15:18:57] "GET /perms HTTP/1.1" 200 -
  [15:18:58] "GET /jobs HTTP/1.1" 200 -
  [15:18:59] "GET /jobs HTTP/1.1" 200 -
  [15:18:59] "GET /perms HTTP/1.1" 200 -
  [15:19:00] "GET /jobs HTTP/1.1" 200 -
  [15:19:00] "GET /jobs HTTP/1.1" 200 -
  [15:19:00] "GET /perms HTTP/1.1" 200 -
  [15:19:02] "GET /jobs HTTP/1.1" 200 -
  [15:19:02] "GET /perms HTTP/1.1" 200 -
  [15:19:02] "GET /jobs HTTP/1.1" 200 -
  [15:19:03] "GET /jobs HTTP/1.1" 200 -
  [15:19:03] "GET /perms HTTP/1.1" 200 -
  [15:19:04] "GET /jobs HTTP/1.1" 200 -
  [15:19:05] "GET /jobs HTTP/1.1" 200 -
  [15:19:05] "GET /perms HTTP/1.1" 200 -
  [15:19:06] "GET /jobs HTTP/1.1" 200 -
  [15:19:06] "GET /jobs HTTP/1.1" 200 -
  [15:19:06] "GET /perms HTTP/1.1" 200 -
  [15:19:08] "GET /jobs HTTP/1.1" 200 -
  [15:19:08] "GET /perms HTTP/1.1" 200 -
  [15:19:08] "GET /jobs HTTP/1.1" 200 -
  [15:19:09] "GET /jobs HTTP/1.1" 200 -
  [15:19:09] "GET /perms HTTP/1.1" 200 -
  [15:19:10] "GET /jobs HTTP/1.1" 200 -
  [15:19:11] "GET /jobs HTTP/1.1" 200 -
  [15:19:11] "GET /perms HTTP/1.1" 200 -
  [15:19:12] "GET /jobs HTTP/1.1" 200 -
  [15:19:12] "GET /jobs HTTP/1.1" 200 -
  [15:19:12] "GET /perms HTTP/1.1" 200 -
  [15:19:14] "GET /jobs HTTP/1.1" 200 -
  [15:19:14] "GET /perms HTTP/1.1" 200 -
  [15:19:14] "GET /jobs HTTP/1.1" 200 -
  [15:19:15] "GET /jobs HTTP/1.1" 200 -
  [15:19:15] "GET /perms HTTP/1.1" 200 -
  [15:19:16] "GET /jobs HTTP/1.1" 200 -
  [15:19:17] "GET /jobs HTTP/1.1" 200 -
  [15:19:17] "GET /perms HTTP/1.1" 200 -
  [15:19:18] "GET /jobs HTTP/1.1" 200 -
  [15:19:18] "GET /jobs HTTP/1.1" 200 -
  [15:19:18] "GET /perms HTTP/1.1" 200 -
  [15:19:20] "GET /jobs HTTP/1.1" 200 -
  [15:19:20] "GET /perms HTTP/1.1" 200 -
  [15:19:20] "GET /jobs HTTP/1.1" 200 -
  [15:19:21] "GET /jobs HTTP/1.1" 200 -
  [15:19:21] "GET /perms HTTP/1.1" 200 -
  [15:19:22] "GET /jobs HTTP/1.1" 200 -
  [15:19:23] "GET /jobs HTTP/1.1" 200 -
  [15:19:23] "GET /perms HTTP/1.1" 200 -
  [15:19:24] "GET /jobs HTTP/1.1" 200 -
  [15:19:24] "GET /jobs HTTP/1.1" 200 -
  [15:19:24] "GET /perms HTTP/1.1" 200 -
  [15:19:26] "GET /jobs HTTP/1.1" 200 -
  [15:19:26] "GET /perms HTTP/1.1" 200 -
  [15:19:26] "GET /jobs HTTP/1.1" 200 -
  [15:19:27] "GET /jobs HTTP/1.1" 200 -
  [15:19:27] "GET /perms HTTP/1.1" 200 -
  [15:19:28] "GET /jobs HTTP/1.1" 200 -
  [15:19:29] "GET /jobs HTTP/1.1" 200 -
  [15:19:29] "GET /perms HTTP/1.1" 200 -
  [15:19:30] "GET /jobs HTTP/1.1" 200 -
  [15:19:30] "GET /jobs HTTP/1.1" 200 -
  [15:19:30] "GET /perms HTTP/1.1" 200 -
  [15:19:32] "GET /jobs HTTP/1.1" 200 -
  [15:19:32] "GET /perms HTTP/1.1" 200 -
  [15:19:32] "GET /jobs HTTP/1.1" 200 -
  [15:19:33] "GET /jobs HTTP/1.1" 200 -
  [15:19:33] "GET /perms HTTP/1.1" 200 -
  [15:19:34] "GET /jobs HTTP/1.1" 200 -
  [15:19:35] "GET /jobs HTTP/1.1" 200 -
  [15:19:35] "GET /perms HTTP/1.1" 200 -
  [15:19:36] "GET /jobs HTTP/1.1" 200 -
  [15:19:36] "GET /jobs HTTP/1.1" 200 -
  [15:19:36] "GET /perms HTTP/1.1" 200 -
  [15:19:38] "GET /jobs HTTP/1.1" 200 -
  [15:19:38] "GET /perms HTTP/1.1" 200 -
  [15:19:38] "GET /jobs HTTP/1.1" 200 -
  [15:19:39] "GET /jobs HTTP/1.1" 200 -
  [15:19:39] "GET /perms HTTP/1.1" 200 -
  [15:19:40] "GET /jobs HTTP/1.1" 200 -
  [15:19:40] "GET /jobs HTTP/1.1" 200 -
  [15:19:40] "GET /perms HTTP/1.1" 200 -
  [15:19:41] "GET /jobs HTTP/1.1" 200 -
  [15:19:41] "GET /perms HTTP/1.1" 200 -
  [15:19:42] "GET /jobs HTTP/1.1" 200 -
  [15:19:42] "GET /perms HTTP/1.1" 200 -
  [15:19:44] "GET /jobs HTTP/1.1" 200 -
  [15:19:44] "GET /perms HTTP/1.1" 200 -
  [15:19:45] "GET /jobs HTTP/1.1" 200 -
  [15:19:45] "GET /perms HTTP/1.1" 200 -
  [15:19:47] "GET /jobs HTTP/1.1" 200 -
  [15:19:47] "GET /perms HTTP/1.1" 200 -
  [15:19:48] "GET /jobs HTTP/1.1" 200 -
  [15:19:48] "GET /perms HTTP/1.1" 200 -
  [15:19:50] "GET /jobs HTTP/1.1" 200 -
  [15:19:50] "GET /perms HTTP/1.1" 200 -
  [15:19:51] "GET /jobs HTTP/1.1" 200 -
  [15:19:51] "GET /perms HTTP/1.1" 200 -
  [15:19:53] "GET /jobs HTTP/1.1" 200 -
  [15:19:53] "GET /perms HTTP/1.1" 200 -
  [15:19:54] "GET /jobs HTTP/1.1" 200 -
  [15:19:54] "GET /perms HTTP/1.1" 200 -
  [15:19:56] "GET /jobs HTTP/1.1" 200 -
  [15:19:56] "GET /perms HTTP/1.1" 200 -
  [15:19:57] "GET /jobs HTTP/1.1" 200 -
  [15:19:57] "GET /perms HTTP/1.1" 200 -
  [15:19:59] "GET /jobs HTTP/1.1" 200 -
  [15:19:59] "GET /perms HTTP/1.1" 200 -
  [15:20:00] "GET /jobs HTTP/1.1" 200 -
  [15:20:00] "GET /perms HTTP/1.1" 200 -
  [15:20:02] "GET /jobs HTTP/1.1" 200 -
  [15:20:02] "GET /perms HTTP/1.1" 200 -
  [15:20:03] "GET /jobs HTTP/1.1" 200 -
  [15:20:03] "GET /perms HTTP/1.1" 200 -
  [15:20:05] "GET /jobs HTTP/1.1" 200 -
  [15:20:05] "GET /perms HTTP/1.1" 200 -
  [15:20:06] "GET /jobs HTTP/1.1" 200 -
  [15:20:06] "GET /perms HTTP/1.1" 200 -
  [15:20:08] "GET /jobs HTTP/1.1" 200 -
  [15:20:08] "GET /perms HTTP/1.1" 200 -
  [15:20:09] "GET /jobs HTTP/1.1" 200 -
  [15:20:09] "GET /perms HTTP/1.1" 200 -
  [15:20:11] "GET /jobs HTTP/1.1" 200 -
  [15:20:11] "GET /perms HTTP/1.1" 200 -
  [15:20:12] "GET /jobs HTTP/1.1" 200 -
  [15:20:12] "GET /perms HTTP/1.1" 200 -
  [15:20:14] "GET /jobs HTTP/1.1" 200 -
  [15:20:14] "GET /perms HTTP/1.1" 200 -
  [15:20:15] "GET /jobs HTTP/1.1" 200 -
  [15:20:15] "GET /perms HTTP/1.1" 200 -
  [15:20:17] "GET /jobs HTTP/1.1" 200 -
  [15:20:17] "GET /perms HTTP/1.1" 200 -
  [15:20:18] "GET /jobs HTTP/1.1" 200 -
  [15:20:18] "GET /perms HTTP/1.1" 200 -
  [15:20:20] "GET /jobs HTTP/1.1" 200 -
  [15:20:20] "GET /perms HTTP/1.1" 200 -
  [15:20:21] "GET /jobs HTTP/1.1" 200 -
  [15:20:21] "GET /perms HTTP/1.1" 200 -
  [15:20:23] "GET /jobs HTTP/1.1" 200 -
  [15:20:23] "GET /perms HTTP/1.1" 200 -
  [15:20:24] "GET /jobs HTTP/1.1" 200 -
  [15:20:24] "GET /perms HTTP/1.1" 200 -
  [15:20:26] "GET /jobs HTTP/1.1" 200 -
  [15:20:26] "GET /perms HTTP/1.1" 200 -
  [15:20:27] "GET /jobs HTTP/1.1" 200 -
  [15:20:27] "GET /perms HTTP/1.1" 200 -
  [15:20:29] "GET /jobs HTTP/1.1" 200 -
  [15:20:29] "GET /perms HTTP/1.1" 200 -
  [15:20:30] "GET /jobs HTTP/1.1" 200 -
  [15:20:30] "GET /perms HTTP/1.1" 200 -
  [15:20:32] "GET /jobs HTTP/1.1" 200 -
  [15:20:32] "GET /perms HTTP/1.1" 200 -
  [15:20:33] "GET /jobs HTTP/1.1" 200 -
  [15:20:33] "GET /perms HTTP/1.1" 200 -
  [15:20:35] "GET /jobs HTTP/1.1" 200 -
  [15:20:35] "GET /perms HTTP/1.1" 200 -
  [15:20:36] "GET /jobs HTTP/1.1" 200 -
  [15:20:36] "GET /perms HTTP/1.1" 200 -
  [15:20:38] "GET /jobs HTTP/1.1" 200 -
  [15:20:38] "GET /perms HTTP/1.1" 200 -
  [15:20:39] "GET /jobs HTTP/1.1" 200 -
  [15:20:39] "GET /perms HTTP/1.1" 200 -
  [15:20:41] "GET /jobs HTTP/1.1" 200 -
  [15:20:41] "GET /perms HTTP/1.1" 200 -
  [15:20:42] "GET /jobs HTTP/1.1" 200 -
  [15:20:42] "GET /perms HTTP/1.1" 200 -
  [15:20:44] "GET /jobs HTTP/1.1" 200 -
  [15:20:44] "GET /perms HTTP/1.1" 200 -
  [15:20:45] "GET /jobs HTTP/1.1" 200 -
  [15:20:45] "GET /perms HTTP/1.1" 200 -
  [15:20:47] "GET /jobs HTTP/1.1" 200 -
  [15:20:47] "GET /perms HTTP/1.1" 200 -
  [15:20:48] "GET /jobs HTTP/1.1" 200 -
  [15:20:48] "GET /perms HTTP/1.1" 200 -
  [15:20:50] "GET /jobs HTTP/1.1" 200 -
  [15:20:50] "GET /perms HTTP/1.1" 200 -
  [15:20:51] "GET /jobs HTTP/1.1" 200 -
  [15:20:51] "GET /perms HTTP/1.1" 200 -
  [15:20:53] "GET /jobs HTTP/1.1" 200 -
  [15:20:53] "GET /perms HTTP/1.1" 200 -
  [15:20:54] "GET /jobs HTTP/1.1" 200 -
  [15:20:54] "GET /perms HTTP/1.1" 200 -
  [15:20:56] "GET /jobs HTTP/1.1" 200 -
  [15:20:56] "GET /perms HTTP/1.1" 200 -
  [15:20:57] "GET /jobs HTTP/1.1" 200 -
  [15:20:57] "GET /perms HTTP/1.1" 200 -
  [15:20:59] "GET /jobs HTTP/1.1" 200 -
  [15:20:59] "GET /perms HTTP/1.1" 200 -
  [15:21:00] "GET /jobs HTTP/1.1" 200 -
  [15:21:00] "GET /perms HTTP/1.1" 200 -
  [15:21:02] "GET /jobs HTTP/1.1" 200 -
  [15:21:02] "GET /perms HTTP/1.1" 200 -
  [15:21:03] "GET /jobs HTTP/1.1" 200 -
  [15:21:03] "GET /perms HTTP/1.1" 200 -
  [15:21:05] "GET /jobs HTTP/1.1" 200 -
  [15:21:05] "GET /perms HTTP/1.1" 200 -
  [15:21:06] "GET /jobs HTTP/1.1" 200 -
  [15:21:06] "GET /perms HTTP/1.1" 200 -
  [15:21:08] "GET /jobs HTTP/1.1" 200 -
  [15:21:08] "GET /perms HTTP/1.1" 200 -
  [15:21:09] "GET /jobs HTTP/1.1" 200 -
  [15:21:09] "GET /perms HTTP/1.1" 200 -
  [15:21:11] "GET /jobs HTTP/1.1" 200 -
  [15:21:11] "GET /perms HTTP/1.1" 200 -
  [15:21:12] "GET /jobs HTTP/1.1" 200 -
  [15:21:12] "GET /perms HTTP/1.1" 200 -
  [15:21:14] "GET /jobs HTTP/1.1" 200 -
  [15:21:14] "GET /perms HTTP/1.1" 200 -
  [15:21:15] "GET /jobs HTTP/1.1" 200 -
  [15:21:15] "GET /perms HTTP/1.1" 200 -
  [15:21:17] "GET /jobs HTTP/1.1" 200 -
  [15:21:17] "GET /perms HTTP/1.1" 200 -
  [15:21:18] "GET /jobs HTTP/1.1" 200 -
  [15:21:18] "GET /perms HTTP/1.1" 200 -
  [15:21:20] "GET /jobs HTTP/1.1" 200 -
  [15:21:20] "GET /perms HTTP/1.1" 200 -
  [15:21:21] "GET /jobs HTTP/1.1" 200 -
  [15:21:21] "GET /perms HTTP/1.1" 200 -
  [15:21:23] "GET /jobs HTTP/1.1" 200 -
  [15:21:23] "GET /perms HTTP/1.1" 200 -
  [15:21:24] "GET /jobs HTTP/1.1" 200 -
  [15:21:24] "GET /perms HTTP/1.1" 200 -
  [15:21:26] "GET /jobs HTTP/1.1" 200 -
  [15:21:26] "GET /perms HTTP/1.1" 200 -
